artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
Georges Seurat,1884,,6367,4226,11579390,wikipedia,Pointillism,Bathers at Asnières ,train_and_test,TRUE,39751.jpg
Thomas Gainsborough,1783,landscape,5712,4704,11791905,wikiart,Rococo,The Mall in St. James's Park,train_and_test,TRUE,1164.jpg
Lyonel Feininger,1925,cityscape,4550,5892,7484741,wikiart,Cubism,Torturm II,train_only,TRUE,4147.jpg
Michelangelo,1541,religious painting,4579,5764,7771793,wikiart,High Renaissance,The Last Judgement,train_and_test,TRUE,57581.jpg
Lyonel Feininger,1926,cityscape,4472,5894,7382419,wikiart,Cubism,Gelmeroda IX ,train_only,TRUE,19385.jpg
Auguste Herbin,1905,flower painting,5136,5124,10762835,wikiart,Fauvism,Azalées ,train_and_test,TRUE,80897.jpg
Utagawa Kuniyoshi,,illustration,5978,4343,4638765,wikiart,Ukiyo-e,Dipicting the characters from the Chushingura,train_and_test,TRUE,99733.jpg
Utagawa Kuniyoshi,,illustration,5978,4343,4480994,wikipedia,Ukiyo-e,Dipicting the characters from the Chushingura,train_and_test,TRUE,73690.jpg
Utagawa Kuniyoshi,,illustration,5978,4343,4471552,wikipedia,Ukiyo-e,Dipicting the characters from the Chushingura,train_and_test,TRUE,93715.jpg
Utagawa Kuniyoshi,,illustration,5978,4343,4666615,wikiart,Ukiyo-e,Dipicting the characters from the Chushingura,train_and_test,TRUE,47170.jpg
Odilon Redon,1910,literary painting,4500,5738,2707505,wikiart,Symbolism,Roger and Angelica,train_and_test,TRUE,29331.jpg
Mario Tozzi,1970,figurative,4213,6025,15367833,wikiart,,"La Ragazza, Il Dado",train_and_test,TRUE,42278.jpg
Sandro Botticelli,1476,religious painting,5535,4511,9399440,wikiart,Early Renaissance,The Adoration of the Magi,train_and_test,TRUE,47203.jpg
Barnett Newman,1958,abstract,4357,5607,1351529,wikiart,Color Field Painting,1. First Station,train_only,TRUE,73319.jpg
First Station,1958,abstract,4357,5607,1351529,wikiart,Color Field Painting,The Station of the Cross,train_only,TRUE,75586.jpg
Fourth Station,1967,abstract,4337,5615,1337573,wikiart,Color Field Painting,The Station of the Cross,train_only,TRUE,49350.jpg
Paul Signac,,cityscape,5616,4312,10612858,wikiart,Pointillism,View of the Port of Marseilles,train_and_test,TRUE,74221.jpg
William Turner,1839,marina,5684,4226,5103820,wikiart,Romanticism,The Fighting Temeraire tugged to her last berth to be broken up,train_and_test,TRUE,56906.jpg
Joseph Wright,1768,genre painting,5639,4226,4147734,wikipedia,Baroque,An Experiment on a Bird in the Air Pump,train_and_test,TRUE,90044.jpg
Claude Lorrain,1672,mythological painting,5627,4226,6358811,wikiart,Classicism,Landscape with Aeneas at Delos,train_and_test,TRUE,48590.jpg
Georges Seurat,1884,genre painting,5910,4001,5330653,wikiart,Pointillism,Study for A Sunday on La Grande Jatte,train_and_test,TRUE,31337.jpg
Johannes Vermeer,c.1662,genre painting,4500,5236,10549098,wikiart,Baroque,Young Woman with a Pearl Necklace,train_and_test,TRUE,7071.jpg
Claude Lorrain,1648,cityscape,5559,4226,6933126,wikiart,Classicism,The Embarkation of the Queen of Sheba,train_and_test,TRUE,60585.jpg
Mario Tozzi,1976,portrait,4404,5333,3809347,wikiart,,Volto Misterioso,train_and_test,TRUE,99460.jpg
Lorenzo Lotto,1547,portrait,5536,4226,8420464,wikiart,High Renaissance,Portrait of Giovanni della Volta with his Wife and Children,train_and_test,TRUE,5194.jpg
Henri de Toulouse-Lautrec,1895,genre painting,5833,3985,3389831,wikiart,Post-Impressionism,Abandonment (The pair),train_and_test,TRUE,17354.jpg
Konstantin Somov,1934,interior,4374,5262,3977861,wikiart,Art Nouveau (Modern),Open Door on a Garden,train_and_test,TRUE,41541.jpg
Giovanni Bellini,1505,religious painting,5433,4226,6739801,wikiart,High Renaissance,Madonna of the Meadow (Madonna del Prato),train_only,TRUE,55537.jpg
William Hogarth,c.1757,self-portrait,4832,4750,7129163,wikiart,Rococo,Self portrait,train_and_test,TRUE,45704.jpg
Thomas Eakins,,nude painting (nu),3648,6264,9096636,wikipedia,Realism,Nude Woman Standing ,train_and_test,TRUE,633.jpg
Paolo Veronese,,portrait,3688,6191,7445177,wikiart,Mannerism (Late Renaissance),Boy with a Greyhound,train_and_test,TRUE,840.jpg
Pieter Bruegel the Elder,1559,allegorical painting,5649,4000,4200654,wikiart,Northern Renaissance,Netherlandish Proverbs,train_and_test,TRUE,50097.jpg
Ivan Aivazovsky,1850,marina,5815,3840,16019462,wikiart,Romanticism,The Ninth Wave,train_and_test,TRUE,81750.jpg
El Greco,1600,religious painting,5194,4226,8070553,wikiart,Mannerism (Late Renaissance),Christ driving the Traders from the Temple,train_and_test,TRUE,13689.jpg
Carlos Saenz de Tejada,,history painting,5360,4080,3018540,wikiart,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 2. Ignatius writes the Spiritual Exercises in the cave at Manresa.,train_and_test,TRUE,71560.jpg
Carlos Saenz de Tejada,,history painting,5321,4074,2159983,wikiart,Art Nouveau (Modern),"The Life of St. Ignatius Loyola. Plate 9. After their solemn vows at the Basilica of St-Paul-Outside-The-Walls in Rome, the companions set off to help souls with unbounded joy.",train_and_test,TRUE,42784.jpg
Carlos Saenz de Tejada,,history painting,5331,4060,2882745,wikiart,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 7. Pope Paul III approves the Society of Jesus 27th September 1540 Regimini Militantes.,train_and_test,TRUE,5569.jpg
Carlos Saenz de Tejada,,history painting,5339,4044,2762301,wikiart,Art Nouveau (Modern),"The Life of St. Ignatius Loyola. Plate 8. Before saying Mass, Ignatius is overcome with tears.",train_and_test,TRUE,59919.jpg
Carlos Saenz de Tejada,,history painting,5321,4049,3218789,wikiart,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 1. Ignatius recovers from his wounds at Loyola.,train_and_test,TRUE,10709.jpg
August Macke,c.1910,genre painting,3846,5592,11625509,wikiart,Expressionism,Sailing boat on the Tegernsee,train_and_test,TRUE,31234.jpg
Carlos Saenz de Tejada,,history painting,5305,4043,2847451,wikiart,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 6.  The vision at La Storta (outside Rome) I will be favourable to you in Rome.,train_and_test,TRUE,97081.jpg
Carlos Saenz de Tejada,,history painting,5306,4004,2603522,wikiart,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 10. The Death of St. Ignatius 31st July 1556.,train_and_test,TRUE,73181.jpg
Mario Tozzi,1915,self-portrait,4204,5023,4285322,wikiart,,Autoritratto,train_and_test,TRUE,4123.jpg
Ferdinand Hodler,1910,genre painting,5124,4080,11764900,wikiart,Art Nouveau (Modern),The Reaper,train_and_test,TRUE,96174.jpg
Franz Stuck,c.1910,portrait,4167,4988,2268923,wikiart,Symbolism,Mary with  Biedermeier hut,train_and_test,TRUE,95721.jpg
Edouard Vuillard,1899,genre painting,4128,5034,11503205,wikiart,Japonism,The two sisters,train_and_test,TRUE,57090.jpg
Mario Tozzi,1928,nude painting (nu),3609,5744,3870120,wikiart,,La Famiglia del Pescatore,train_and_test,TRUE,78931.jpg
Mario Tozzi,1967,figurative,4051,5107,3882125,wikiart,,Meriggio,train_and_test,TRUE,38535.jpg
Lorenzo Lotto,c.1531,portrait,4830,4226,7016282,wikiart,High Renaissance,A Lady with a Drawing of Lucretia,train_and_test,TRUE,820.jpg
Nicolas Poussin,c.1630,mythological painting,5536,3682,5682268,wikiart,Classicism,Sleeping Venus and Cupid,train_and_test,TRUE,43517.jpg
William-Adolphe Bouguereau,1892,genre painting,3701,5490,2026238,wikiart,Realism,Leveil Heart,train_and_test,TRUE,19834.jpg
William-Adolphe Bouguereau,1892,allegorical painting,3765,5385,3867337,wikiart,Neoclassicism,The Heart's Awakening,train_and_test,TRUE,27067.jpg
Rembrandt,,portrait,4032,5008,1384905,wikiart,Baroque,Lady with a Lap Dog,train_and_test,TRUE,40672.jpg
Thomas Eakins,1880,portrait,3949,5092,8553121,wikiart,Realism,General George Cadwalader  ,train_and_test,TRUE,45276.jpg
Ferdinand Hodler,1879,self-portrait,3792,5280,9816878,wikiart,Romanticism,Self-portrait with stand,train_and_test,TRUE,75895.jpg
Koloman Moser,c.1896,illustration,4290,4626,11564735,wikiart,Art Nouveau (Modern),Mermaid. Illustration for Jugendschatz German seals.,train_and_test,TRUE,21113.jpg
Ferdinand Hodler,1915,portrait,3738,5298,11315082,wikiart,Art Nouveau (Modern),Portrait of James Vibert,train_and_test,TRUE,88434.jpg
Ferdinand Hodler,1882,genre painting,4992,3966,11231877,wikiart,Realism,Devotion,train_and_test,TRUE,80938.jpg
Titian,1523,mythological painting,4670,4226,9954050,wikiart,High Renaissance,Bacchus and Ariadne,train_and_test,TRUE,26065.jpg
Ernst Ludwig Kirchner,1910,poster,3666,5376,8865341,wikiart,Expressionism,KG Brücke,train_and_test,TRUE,65341.jpg
Mario Tozzi,1924,religious painting,3672,5345,4264784,wikiart,,Madonna col Bambino,train_and_test,TRUE,32343.jpg
Mario Tozzi,1942,symbolic painting,3500,5580,3886786,wikiart,,Natura Morta con Venere,train_and_test,TRUE,70002.jpg
Ferdinand Georg Waldmüller,1826,advertisement,4879,4000,2545581,wikiart,Neoclassicism,"Four shop signs (Hygieia, Hippocrates, Galen and Fauna) for the pharmacy, The Golden Lion in Josefstadt ",train_and_test,TRUE,75802.jpg
Hiroshige,1838,bird-and-flower painting,3859,5031,5420701,wikiart,Ukiyo-e,Plum Blossom and Bush Warbler,train_and_test,TRUE,216.jpg
Koloman Moser,1899,design,4194,4626,9021106,wikiart,Art Nouveau (Modern),"Girl's Head. Cover design Ver Sacrum, 204, 1899.",train_and_test,TRUE,51415.jpg
Joshua Reynolds,c.1749,self-portrait,4833,3986,4516799,wikiart,Baroque,Self-Portrait,train_and_test,TRUE,91879.jpg
Utagawa Kunisada II,,genre painting,6298,3049,3962512,wikiart,Ukiyo-e,Visit to a peony garden,train_only,TRUE,32829.jpg
Koloman Moser,c.1895,illustration,4122,4626,10196646,wikiart,Art Nouveau (Modern),Happy editing. Illustration with self-portrait.,train_and_test,TRUE,15569.jpg
Ferdinand Hodler,1906,landscape,4476,4248,11568126,wikiart,Symbolism,The Grammont,train_and_test,TRUE,20509.jpg
Tosa Mitsuoki,,mythological painting,6447,2929,4247567,wikiart,Yamato-e,Night March of a Hundred Demons (detail),train_only,TRUE,3306.jpg
Heinrich Schonfeld,1645,history painting,5044,3687,3798468,wikiart,Baroque,Der heilige Cyriakus ,train_only,TRUE,49864.jpg
Johannes Vermeer,c.1669,genre painting,4000,4638,7226200,wikiart,Baroque,The Love Letter,train_and_test,TRUE,1127.jpg
Rudolf von Alt,1898,landscape,4242,4368,11514609,wikiart,Romanticism,The cemetery in Gastein,train_and_test,TRUE,71952.jpg
Rudolf von Alt,1856,cityscape,3636,5076,11552746,wikiart,Romanticism,The Spittler in Nuremberg,train_and_test,TRUE,7020.jpg
Ferdinand Hodler,1891,self-portrait,3906,4716,9332744,wikiart,Realism,Self-portrait in Paris,train_and_test,TRUE,23209.jpg
Victor Borisov-Musatov,1904,genre painting,5651,3258,22688928,wikiart,Symbolism,Emerald Necklace,train_and_test,TRUE,29461.jpg
Koloman Moser,1897,design,3378,5448,11674658,wikiart,Art Nouveau (Modern),Cover design of the first publication of the Association of Austrian Artists Secession,train_and_test,TRUE,100478.jpg
Ferdinand Hodler,1879,portrait,3672,5004,11552440,wikiart,Realism,The pastor,train_and_test,TRUE,100829.jpg
Barnett Newman,1949,abstract,3773,4859,992510,wikiart,Color Field Painting,Yellow Painting,train_only,TRUE,49147.jpg
Koloman Moser,1898,portrait,4704,3846,10550422,wikiart,Art Nouveau (Modern),Girl in Landscape,train_and_test,TRUE,92409.jpg
Ernst Ludwig Kirchner,1913,landscape,4908,3684,10682834,wikiart,Expressionism,Red Tree on the Beach,train_and_test,TRUE,51728.jpg
Edgar Degas,1869,interior,5382,3349,1824204,wikiart,Impressionism,Interior (The Rape),train_and_test,TRUE,95360.jpg
Johannes Vermeer,c.1660,genre painting,4000,4485,11222708,wikiart,Baroque,The Milkmaid,train_and_test,TRUE,68866.jpg
Ferdinand Hodler,c.1906,landscape,4806,3732,10789503,wikiart,Symbolism,"Lake Geneva, overlooking the Savoyerberge",train_and_test,TRUE,16019.jpg
Ferdinand Hodler,1916,portrait,3894,4602,10421232,wikiart,Art Nouveau (Modern),Portrait of Georges Navazza,train_and_test,TRUE,79131.jpg
Koloman Moser,c.1902,poster,4758,3762,9527188,wikiart,Art Nouveau (Modern),Serpentine dancer. Poster design for Lois Fuller.,train_and_test,TRUE,61952.jpg
Ferdinand Hodler,1901,symbolic painting,4800,3708,10743531,wikiart,Art Nouveau (Modern),Spring,train_and_test,TRUE,99839.jpg
Ferdinand Hodler,1911,portrait,3690,4818,11026831,wikiart,Art Nouveau (Modern),Portrait of Willy Russ,train_and_test,TRUE,53800.jpg
Mario Tozzi,1918,panorama,3445,5135,4808374,wikiart,,Notturno a Suna,train_and_test,TRUE,72005.jpg
Koloman Moser,c.1907,landscape,3816,4632,11765107,wikiart,Art Nouveau (Modern),Pine forest in winter,train_and_test,TRUE,11057.jpg
Hiroshige,1848,bird-and-flower painting,2482,7095,5004269,wikiart,Ukiyo-e,Small Bird on a Branch of Kaidozakura,train_and_test,TRUE,102176.jpg
Ferdinand Hodler,1912,landscape,4806,3654,8688703,wikiart,Art Nouveau (Modern),The Lake Geneva from Lausanne,train_and_test,TRUE,89941.jpg
Koloman Moser,,design,4722,3708,10238915,wikiart,Art Nouveau (Modern),"Church Am Steinhof, drawing of western window ",train_and_test,TRUE,26741.jpg
Ernst Ludwig Kirchner,1919,animal painting,4464,3918,9862522,wikiart,Expressionism,Cows at Sunset,train_and_test,TRUE,82971.jpg
Mario Tozzi,1944,symbolic painting,3001,5822,3865224,wikiart,,Conchiglia e Fiori,train_and_test,TRUE,33542.jpg
Ernst Ludwig Kirchner,c.1916,genre painting,3348,5214,8872339,wikiart,Expressionism,In the Greenhouse,train_and_test,TRUE,96372.jpg
Juan Gris,1921,still life,5137,3396,5534860,wikipedia,Cubism,The Open Window,train_and_test,TRUE,66723.jpg
Franz Richard Unterberger,,genre painting,3576,4848,3930753,wikiart,Romanticism,In the Bay of Naples,train_and_test,TRUE,3732.jpg
Shitao,1699,landscape,5247,3299,3908664,wikiart,Ink and wash painting,Autumn the mountain,train_and_test,TRUE,60678.jpg
Ferdinand Hodler,1909,landscape,4866,3540,10336647,wikiart,Symbolism,Thun with symmetric mirroring,train_and_test,TRUE,10805.jpg
Ferdinand Hodler,c.1912,landscape,4812,3570,9951649,wikiart,Art Nouveau (Modern),"Thun, Stockhornkette, evening",train_and_test,TRUE,87438.jpg
Ferdinand Hodler,1914,portrait,4824,3558,8820923,wikiart,Art Nouveau (Modern),Valentine Gode Darel in hospital bed,train_and_test,TRUE,88945.jpg
Ferdinand Hodler,1907,landscape,4848,3528,11702489,wikiart,Symbolism,Snow in the Engadine,train_and_test,TRUE,98644.jpg
Akseli Gallen-Kallela,1887,genre painting,3999,4266,3426936,wikiart,Romanticism,Rustic life ,train_and_test,TRUE,62387.jpg
Barnett Newman,1949,abstract,3529,4825,2187138,wikiart,Color Field Painting,Dionysius,train_only,TRUE,62037.jpg
William-Adolphe Bouguereau,,portrait,3284,5176,5334253,wikiart,Neoclassicism,The Song of the Nightingale,train_and_test,TRUE,60983.jpg
Koloman Moser,c.1914,sketch and study,4740,3576,10618524,wikiart,Art Nouveau (Modern),Study of Portrait of Venus in the Grotto,train_and_test,TRUE,80950.jpg
Koloman Moser,1905,design,4746,3570,11152157,wikiart,Art Nouveau (Modern),"Church Am Steinhof, design for the east side windows",train_and_test,TRUE,48541.jpg
Alfred Stevens,1906,portrait,3618,4683,3681084,wikiart,Romanticism,Portrait of a young lady,train_only,TRUE,22404.jpg
Ferdinand Hodler,1890,portrait,3402,4962,10787147,wikiart,Art Nouveau (Modern),Girl at the Window,train_and_test,TRUE,9549.jpg
Koloman Moser,1914,mythological painting,4746,3522,10677416,wikipedia,Art Nouveau (Modern),Mermaid,train_and_test,TRUE,49873.jpg
Ferdinand Hodler,1916,landscape,4806,3474,9011384,wikiart,Symbolism,Dents du Midi,train_and_test,TRUE,72442.jpg
Karl Bodmer,1843,portrait,3528,4731,3824113,wikiart,Romanticism,"A Minatarre or Big bellied indian, plate 17 from Volume 2 of 'Travels in the Interior of North America'",train_and_test,TRUE,41164.jpg
Ernst Ludwig Kirchner,1910,genre painting,4728,3528,11325985,wikiart,Expressionism,Girl with Cat (Franzi),train_and_test,TRUE,101495.jpg
August Macke,,landscape,4482,3708,9373132,wikiart,Orphism,Garden on Lake Thun,train_and_test,TRUE,53039.jpg
Koloman Moser,1914,self-portrait,4734,3510,10910703,wikiart,Art Nouveau (Modern),Self-Portrait with mermaid,train_and_test,TRUE,38397.jpg
Shitao,1707,flower painting,5403,3074,4083685,wikiart,Ink and wash painting,On the Lotus Pond,train_and_test,TRUE,74307.jpg
Paul Signac,1919,landscape,4464,3720,9021610,wikiart,Pointillism,"Antibes, thunderstorms",train_and_test,TRUE,11837.jpg
Mario Tozzi,1963,abstract,3619,4571,10371666,wikiart,,La Porta Viola,train_and_test,TRUE,83723.jpg
Ferdinand Hodler,1918,landscape,4488,3678,8679640,wikiart,Symbolism,Lake Geneva with Mont Blanc before sunrise,train_and_test,TRUE,89307.jpg
Cornelis de Vos,,portrait,3682,4477,4944254,wikiart,Baroque,Portrait of a Dutch master,train_and_test,TRUE,87495.jpg
Ferdinand Hodler,1894,portrait,3624,4548,10082673,wikiart,Art Nouveau (Modern),Portrait of Berthe Jacques,train_and_test,TRUE,32754.jpg
Ferdinand Hodler,1914,landscape,4740,3474,10206374,wikiart,Symbolism,The Monk,train_and_test,TRUE,100182.jpg
Shitao,1707,landscape,5311,3095,3441040,wikiart,Ink and wash painting,last hike,train_and_test,TRUE,80673.jpg
Ferdinand Hodler,c.1878,genre painting,5166,3180,9760913,wikiart,Realism,The Reaper,train_and_test,TRUE,88558.jpg
Claude Monet,1883,landscape,4540,3611,4873803,wikiart,Impressionism,"The Manneport, Rock Arch West of Etretat",train_and_test,TRUE,49757.jpg
Ferdinand Hodler,1911,landscape,4818,3402,9367058,wikiart,Symbolism,The Monk with clouds,train_and_test,TRUE,18100.jpg
Ferdinand Hodler,1875,landscape,4806,3408,11564302,wikiart,Romanticism,A morning in Interlaken,train_and_test,TRUE,45523.jpg
Ferdinand Hodler,c.1912,genre painting,3090,5298,9328238,wikiart,Art Nouveau (Modern),The Orator,train_and_test,TRUE,22515.jpg
Thomas Eakins,,portrait,3380,4839,4644714,wikiart,Realism,Portraits ,train_and_test,TRUE,17680.jpg
Ferdinand Hodler,c.1912,landscape,4830,3384,10693592,wikiart,Art Nouveau (Modern),"Thun, Stockhornkette, in clouds",train_and_test,TRUE,45969.jpg
Karl Bodmer,1844,interior,4811,3392,3468976,wikiart,Romanticism,"The Interior of a Hut of a Mandan Chief, plate 19 from Volume 2 of 'Travels in the Interior of North America'",train_and_test,TRUE,62013.jpg
Ferdinand Hodler,1878,landscape,4812,3384,9386018,wikiart,Realism,Landscape at the Jonction at Geneva,train_and_test,TRUE,47501.jpg
Shitao,1699,landscape,5044,3222,3469228,wikiart,Ink and wash painting,Bath horses,train_and_test,TRUE,97803.jpg
Mabuse,,religious painting,3840,4226,6057255,wikiart,Northern Renaissance,The Adoration of the Kings ,train_only,TRUE,16091.jpg
Ferdinand Hodler,1910,landscape,4662,3480,11087226,wikiart,Art Nouveau (Modern),"Thun, Stockhornkette",train_and_test,TRUE,1211.jpg
Theodor Severin Kittelsen,1890,illustration,4169,3885,3032037,wikiart,Art Nouveau (Modern),Months of year first page,train_and_test,TRUE,34679.jpg
Ferdinand Hodler,c.1897,sketch and study,4938,3276,9110803,wikiart,Symbolism,Compositional study to retreat from Marignano,train_and_test,TRUE,45079.jpg
Karl Bodmer,1843,genre painting,4811,3360,4055351,wikiart,Romanticism,"Buffalo-Dance of the Mandan Indians in front of their Medicine Lodge in Mih-Tutta-Hankush, plate 18 from Volume 2 of 'Travels in the Interior of North America'",train_and_test,TRUE,95342.jpg
Koloman Moser,1913,landscape,4716,3420,10933062,wikiart,Symbolism,Mountain ranges,train_and_test,TRUE,43030.jpg
Koloman Moser,1916,religious painting,3492,4614,9532996,wikiart,Art Nouveau (Modern),Judith and Holofernes,train_and_test,TRUE,78338.jpg
Domenico Gnoli,,figurative,3937,4086,3422323,wikiart,Surrealism,Striped Trousers,train_only,TRUE,74191.jpg
Paul Signac,c.1923,cityscape,4464,3600,8730590,wikiart,Impressionism,Rodez,train_and_test,TRUE,53841.jpg
Koloman Moser,1911,portrait,3480,4614,8966738,wikiart,Art Nouveau (Modern),Dancer Miss Olga George,train_and_test,TRUE,40197.jpg
Karl Bodmer,1844,portrait,3376,4755,3700164,wikiart,Romanticism,"Wahk-Ta-Ge-Li, a Sioux Warrior, plate 8 from Volume 2 of 'Travels in the Interior of North America'",train_and_test,TRUE,99889.jpg
Edouard Vuillard,1899,cityscape,3540,4530,10107155,wikiart,Post-Impressionism,The Cake Shop,train_and_test,TRUE,85979.jpg
Ferdinand Hodler,c.1906,symbolic painting,3030,5286,9979129,wikiart,Art Nouveau (Modern),Transfiguration,train_and_test,TRUE,271.jpg
Paul Signac,1911,cityscape,4476,3576,9277454,wikiart,Pointillism,"Antibes, the towers",train_and_test,TRUE,88776.jpg
Koloman Moser,c.1915,nude painting (nu),3450,4632,11402296,wikiart,Art Nouveau (Modern),Standing youth,train_and_test,TRUE,99522.jpg
Shitao,1699,landscape,4965,3214,3770748,wikiart,Ink and wash painting,Village at the foot of the mountains,train_and_test,TRUE,28282.jpg
Koloman Moser,1898,design,4740,3336,9318754,wikiart,Art Nouveau (Modern),"Vignettes for the catalog  Secessionausstellung, 1898",train_and_test,TRUE,83567.jpg
Gian Lorenzo Bernini,1623,self-portrait,3485,4532,5418606,wikiart,Baroque,Self Portrait as a Young Man,train_only,TRUE,24036.jpg
Valentin Serov,1907,portrait,3945,4000,8705374,wikiart,Art Nouveau (Modern),Portrait of Henrietta Girshman,train_and_test,TRUE,34382.jpg
Ferdinand Hodler,1912,landscape,4710,3348,9145151,wikiart,Symbolism,From Le Grand Muveran Villars,train_and_test,TRUE,12262.jpg
Thomas Eakins,,portrait,3284,4792,3537065,wikiart,Realism,Portraits ,train_and_test,TRUE,86917.jpg
Konstantin Somov,1900,portrait,3929,4000,5335481,wikiart,Realism,Lady in Blue. Portrait of the Artist Yelizaveta Martynova,train_and_test,TRUE,5303.jpg
Karl Bodmer,1844,portrait,4410,3528,2790279,wikiart,Romanticism,"A Missouri Indian, an Oto Indian and the Chief of the Puncas, plate 7 from 'Travels in the Interior of North America'",train_and_test,TRUE,50480.jpg
Ferdinand Hodler,1908,sketch and study,4830,3210,7944913,wikiart,Symbolism,The German students in the War of Liberation of 1813,train_and_test,TRUE,97421.jpg
Pierre-Paul Prud'hon,,history painting,4375,3542,1818329,wikiart,Neoclassicism,Death of Viala,train_and_test,TRUE,93018.jpg
Koloman Moser,1896,allegorical painting,3342,4626,9386557,wikiart,Art Nouveau (Modern),Spring morning,train_and_test,TRUE,36041.jpg
Ferdinand Hodler,1916,portrait,3318,4644,11089422,wikiart,Art Nouveau (Modern),"Portrait study to ""Look into the infinity""",train_and_test,TRUE,45541.jpg
Koloman Moser,c.1914,symbolic painting,4752,3240,9666144,wikiart,Art Nouveau (Modern),The light,train_and_test,TRUE,76278.jpg
William Blake,c.1803,religious painting,4000,3832,2750790,wikiart,Symbolism,Christ Nailed to the Cross The Third Hour,train_and_test,TRUE,17903.jpg
Rudolf von Alt,1888,landscape,3342,4572,10202901,wikiart,Romanticism,View of Bad Gastein,train_and_test,TRUE,39644.jpg
Ferdinand Hodler,c.1880,landscape,4704,3246,9527119,wikiart,Romanticism,At the Jonction,train_and_test,TRUE,101078.jpg
